section,quantity,value,source
Sample,Countries,5,src/data_prep.py DATA_FILE
Sample,Admin1 regions,135,results/logs/run_ablations.log
Sample,Months of data coverage,84,results/logs/run_ablations.log
Sample,Months spanned by sequences,78,results/logs/run_ablations.log
Sample,Total sequences,9696,results/logs/run_ablations.log
Sample,Overall positive rate,0.358,results/logs/run_ablations.log
Sample,Train sequences,6660,results/logs/run_ablations.log
Sample,Train positive rate,0.311,results/logs/run_ablations.log
Sample,Train month range,2018-07 to 2022-12,results/logs/run_ablations.log
Sample,Test sequences,3036,results/logs/run_ablations.log
Sample,Test positive rate,0.459,results/logs/run_ablations.log
Sample,Test month range,2023-01 to 2024-12,results/logs/run_ablations.log
Sample,Split cutoff month,2023-01,results/logs/run_ablations.log
Sample,Positive class weight,2.213,results/logs/run_ablations.log
Baseline,Persistence test AUPRC,0.5967,results/exp3_persistence.json
Baseline,Persistence test AUROC,0.6905,results/exp3_persistence.json
Baseline,Persistence Brier,0.3073,results/exp3_persistence.json
Attention-LSTM,Full model (16 feat) test AUPRC,0.8088 ± 0.0006,results/ablations_5c.json
Attention-LSTM,Events only (4 feat) test AUPRC,0.8140 ± 0.0003,results/ablations_5c.json
Attention-LSTM,Network only (12 feat) test AUPRC,0.6930 ± 0.0048,results/ablations_5c.json
Attention-LSTM,No past disappearances (15 feat) test AUPRC,0.7225 ± 0.0033,results/ablations_5c.json
Attention-LSTM,No fatalities (15 feat) test AUPRC,0.8080 ± 0.0010,results/ablations_5c.json
Network categories,Events + Structure Features test AUPRC,0.8130 ± 0.0009,results/ablations_5c.json
Network categories,Events + Centrality Features test AUPRC,0.8126 ± 0.0008,results/ablations_5c.json
Network categories,Events + Clustering Features test AUPRC,0.8130 ± 0.0004,results/ablations_5c.json
Network categories,Events + Weight Features test AUPRC,0.8118 ± 0.0010,results/ablations_5c.json
Derived,Network contribution (events only - full),0.0052,results/ablations_5c.json
Derived,Past-disappearance dependency (full - no past disapp.),0.0863,results/ablations_5c.json
Derived,Events minus network only,0.121,results/ablations_5c.json
Derived,Best model margin over persistence,0.2173,results/ablations_5c.json + exp3
Derived,Full model margin over persistence,0.2121,results/ablations_5c.json + exp3
Derived,Network category spread (max - min),0.0012,results/ablations_5c.json
Tuned LR,Full (16 feat) test AUPRC,0.8109,results/exp1_tuned_lr.json
XGBoost,Full (16 feat) test AUPRC,0.7920,results/exp2_gbm.json
Tuned LR,Events only (4 feat) test AUPRC,0.8115,results/exp1_tuned_lr.json
XGBoost,Events only (4 feat) test AUPRC,0.8054,results/exp2_gbm.json
LSTM vs LR,LSTM mean AUPRC (3 seeds),0.8088,results/exp7_bootstrap_lr_vs_lstm.json
LSTM vs LR,LSTM ensemble AUPRC (3 seeds averaged),0.8099,results/exp7_bootstrap_lr_vs_lstm.json
LSTM vs LR,Tuned LR AUPRC,0.8109,results/exp7_bootstrap_lr_vs_lstm.json
LSTM vs LR,Observed difference (LSTM ensemble - LR),-0.00097,results/exp7_bootstrap_lr_vs_lstm.json
LSTM vs LR,95% bootstrap CI,"[-0.00649, 0.00455]",results/exp7_bootstrap_lr_vs_lstm.json
LSTM vs LR,Permutation two-sided p,0.8047,results/exp7_bootstrap_lr_vs_lstm.json
SHAP (events-only model),Mean |SHAP| arrests,0.020529,results/exp5_shap/shap_summary.json
SHAP (events-only model),Mean |SHAP| violence,0.017302,results/exp5_shap/shap_summary.json
SHAP (events-only model),Mean |SHAP| disappearances,0.312505,results/exp5_shap/shap_summary.json
SHAP (events-only model),Mean |SHAP| fatalities,0.016249,results/exp5_shap/shap_summary.json
SHAP (events-only model),Disappearances / next feature ratio,15.2,results/exp5_shap/shap_summary.json
SHAP (events-only model),Highest-weight timestep,t (0.133322),results/exp5_shap/shap_summary.json
Zero-history subset,Zero-history regions,8 of 135,results/exp4_zero_history_subset.json
Zero-history subset,Test sequences in subset,160,results/exp4_zero_history_subset.json
Zero-history subset,Subset positive rate = random baseline,0.175,results/exp4_zero_history_subset.json
Zero-history subset,Subset AUPRC,0.1387 ± 0.0100,results/exp4_zero_history_subset.json
Zero-history subset,"Same model, full test set",0.7191 ± 0.0101,results/exp4_zero_history_subset.json
Poisson appendix,Full (16 feat) test MAE,1.7752,results/exp6_poisson_regression.json
Poisson appendix,Full (16 feat) test RMSE,7.4121,results/exp6_poisson_regression.json
Poisson appendix,Full (16 feat) test Poisson deviance,2.8915,results/exp6_poisson_regression.json
Poisson appendix,Full (16 feat) test McFadden R2,0.3615,results/exp6_poisson_regression.json
Poisson appendix,Full (16 feat) test Lin's CCC,0.4636,results/exp6_poisson_regression.json
Poisson appendix,Events only (4 feat) test MAE,1.686,results/exp6_poisson_regression.json
Poisson appendix,Events only (4 feat) test RMSE,6.4769,results/exp6_poisson_regression.json
Poisson appendix,Events only (4 feat) test Poisson deviance,2.9018,results/exp6_poisson_regression.json
Poisson appendix,Events only (4 feat) test McFadden R2,0.3599,results/exp6_poisson_regression.json
Poisson appendix,Events only (4 feat) test Lin's CCC,0.4695,results/exp6_poisson_regression.json
Poisson appendix,Count-vs-binary target match rate,1.0,results/exp6_poisson_regression.json
